10;MODELO;PESPONTO;PESP.;COLADEIRA;COLADEIRA;;;;;;;;;;;;;;COSTURA;TRISSE;;;
;1080A280;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,448;;;
;1080A374;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,2849;;;
;1080A377;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,2849;;;
;1080A378;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1080A379;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;4,4792;;;
;1080A380;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1080A381;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,6503;;;
;1080A382;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;6,4007;;;
;1080A403;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;3,3005;;;
;1080A419;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;3,7837;;;
;1080A441;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;6,4007;;;
;1080A511;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1080A512;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1080A566;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1080A625;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,2967;;;
;1080A626;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,44;;;
;1080A627;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,9194;;;
;1080A663;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,2849;;;
;1080A664;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1080A665;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1090A431-BO;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1100A779;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1100A795;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1100A796;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,4125;;;
;1100A797;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1100A798;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1100A799;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1100A862;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1100A863;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1100A864;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1100B130;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,4125;;;
;1100B217;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,1769;;;
;1100B218;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1100B246;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0,2358;;;
;1100B247;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1100B445;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1100B446;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1100B502;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1100B503;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1110A814;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0,8251;0;;;
;1110A814GIG;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0,8251;0;;;
;1110A815;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0,8251;0;;;
;1110A815GIG;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0,8251;0;;;
;1115A816;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;2,0982;0;;;
;1115A817;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;2,0982;0;;;
;1120A780;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0,8251;0;;;
;1120A837;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0,8251;0;;;
;1120A837GIG;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0,8251;0;;;
;1130869;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1130A548;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1130A598;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1130A832;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1130A833;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1130A834;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1130A835;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1130A836;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1132A833;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1132A834;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1132A835;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1132A836;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1150A771;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1150A772;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1150A822;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1150A823;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,5658;;;
;1160A977;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A977-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A978;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A978-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A978-E;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A979;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A979-B;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A979-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A979-E;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A980;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,1769;;;
;1160A980-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,1769;;;
;1160A981;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,4145;;;
;1160A982;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,7073;;;
;1160A982-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,7073;;;
;1160A983;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1160A983-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1160A984;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,943;;;
;1160A986;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A987;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A988;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1160A988-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170A982;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170A983;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1170A983-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1170A983-D;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1170A983-E;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170A984;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,943;;;
;1170A984-B;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170A984-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170A985;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,5894;;;
;1170A985-B;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170A986;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,8251;;;
;1170A987;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170A987-C;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170A987-E;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170A988;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170B127;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1170B129;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1170B133;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1170B134;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1171A983;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1171A984;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1171A985;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1171A986;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1171A987;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1171A987-B;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1171A988;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1171B127-B;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A470;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A471;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A474;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A475;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A476;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A477;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A478;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,2985;;;
;1180A479;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A480;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,4176;;;
;1180A481;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A482;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A565;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A670;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A671;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1180A676;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1210A904;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1210A993;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1215A948;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1250A854;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1250A855;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1250A856;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1250A857;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1250A858;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1250A859;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1250A860;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1250A861;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1251A856-B;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;125323;3,01;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1260B139;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1260B140;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1260B141;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1260B142;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1260B143;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1260B144;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0,1769;;;
;1260B145;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1260B146;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1260B266;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1260B267;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0,9189;;;
;1260B282;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1270B147;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;2,9469;;;
;1270B148;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1270B149;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0,2358;;;
;1270B150;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1270B151;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1270B152;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,8054;;;
;1270B153;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1270B154;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,9469;;;
;1270B233;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,9469;;;
;1270B248;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;2,162;;;
;1270B249;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;2,7025;;;
;1270B305;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1270B418;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2;;;
;1270B419;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,8;;;
;1270B504;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,8;;;
;1270B505;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,1;;;
;1280A902;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1280A903;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1280A989;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1284A639;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1284A643;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1284A644;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
